year,region,tourism_type,tourists_thousands,overnight_stays_thousands,spending_million_sar,avg_stay_nights,avg_spend_per_trip_sar,avg_spend_per_night_sar,source,source_id,source_url,data_period,snapshot_date,retrieved_at,is_live
2019,Najran,Domestic,1129.0,12440.0,1768.0,11.02,1566.0,142.1,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2019,Najran,Inbound,13.0,119.0,20.0,9.15,1538.5,168.1,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2019,Northern Borders,Domestic,775.0,5120.0,1258.0,6.61,1623.2,245.7,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2019,Northern Borders,Inbound,640.0,860.0,1120.0,1.34,1750.0,1302.3,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2019,Qassim,Domestic,2889.0,18040.0,3741.0,6.24,1294.9,207.4,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2019,Qassim,Inbound,220.0,874.0,813.0,3.97,3695.5,930.2,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2019,Riyadh,Domestic,11880.0,71052.0,21548.0,5.98,1813.8,303.3,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2019,Riyadh,Inbound,5865.0,39438.0,33886.0,6.72,5777.7,859.2,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2019,Tabuk,Domestic,2882.0,17210.0,4100.0,5.97,1422.6,238.2,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2019,Tabuk,Inbound,521.4,988.0,1533.0,1.89,2940.2,1551.6,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2020,Al Bahah,Domestic,3064.1,23180.0,3091.0,7.57,1008.8,133.3,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2020,Al Bahah,Inbound,3.0,24.0,16.1,8.0,5366.7,670.8,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2020,Al Jawf,Domestic,1557.4,7636.0,2020.0,4.9,1297.0,264.5,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2020,Al Jawf,Inbound,36.2,230.0,165.0,6.35,4558.0,717.4,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2020,Asir,Domestic,9169.2,67107.0,10401.0,7.32,1134.3,155.0,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2020,Asir,Inbound,216.6,3350.0,909.0,15.47,4196.7,271.3,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2020,Eastern Province,Domestic,8569.1,41726.0,8748.0,4.87,1020.9,209.7,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2020,Eastern Province,Inbound,1842.2,8420.0,5488.0,4.57,2979.0,651.8,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2020,Hail,Domestic,2320.0,15540.0,2100.0,6.7,905.2,135.1,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2020,Hail,Inbound,10.0,205.0,42.0,20.5,4200.0,204.9,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2020,Jazan,Domestic,4107.0,25640.0,3278.0,6.24,798.1,127.8,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2020,Jazan,Inbound,17.0,276.0,56.0,16.24,3294.1,202.9,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2020,Madinah,Domestic,11221.3,44109.0,8792.0,3.93,783.5,199.3,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2020,Madinah,Inbound,24.1,8020.0,1934.0,332.78,80249.0,241.1,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2020,Makkah,Domestic,19756.2,100665.0,20865.0,5.1,1056.1,207.3,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2020,Makkah,Inbound,3883.8,45571.0,23387.0,11.73,6021.7,513.2,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2020,Najran,Domestic,1224.1,12290.0,1507.0,10.04,1231.1,122.6,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2020,Najran,Inbound,18.0,330.0,139.0,18.33,7722.2,421.2,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2020,Northern Borders,Domestic,1413.3,9252.0,1740.0,6.55,1231.2,188.1,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2020,Northern Borders,Inbound,156.1,194.0,288.0,1.24,1845.0,1484.5,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2020,Qassim,Domestic,4075.6,22670.0,3635.0,5.56,891.9,160.3,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2020,Qassim,Inbound,77.3,499.0,243.0,6.46,3143.6,487.0,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2020,Riyadh,Domestic,13650.9,63908.0,14986.0,4.68,1097.8,234.5,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2020,Riyadh,Inbound,2130.0,18874.0,9934.0,8.86,4663.8,526.3,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2020,Tabuk,Domestic,4086.1,23353.0,5529.0,5.72,1353.1,236.8,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2020,Tabuk,Inbound,42.7,372.1,220.0,8.71,5152.2,591.2,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2021,Al Bahah,Domestic,2201.0,17486.0,2823.0,7.94,1282.6,161.4,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2021,Al Bahah,Inbound,2.1,10.2,6.0,4.86,2857.1,588.2,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2021,Al Jawf,Domestic,1697.0,8695.0,3237.0,5.12,1907.5,372.3,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2021,Al Jawf,Inbound,36.0,168.0,146.0,4.67,4055.6,869.0,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2021,Asir,Domestic,10537.0,85406.0,16366.0,8.11,1553.2,191.6,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2021,Asir,Inbound,40.0,624.0,211.0,15.6,5275.0,338.1,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2021,Eastern Province,Domestic,18545.0,99681.0,29278.0,5.38,1578.8,293.7,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2021,Eastern Province,Inbound,2375.0,12631.0,5812.0,5.32,2447.2,460.1,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2021,Hail,Domestic,3700.0,25876.0,5336.0,6.99,1442.2,206.2,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2021,Hail,Inbound,90.0,2854.0,355.0,31.71,3944.4,124.4,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2021,Jazan,Domestic,6556.0,51751.0,7546.0,7.89,1151.0,145.8,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2021,Jazan,Inbound,9.0,284.0,60.0,31.56,6666.7,211.3,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2021,Madinah,Domestic,8729.0,36829.0,11434.0,4.22,1309.9,310.5,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2021,Madinah,Inbound,916.0,506.0,1986.0,0.55,2168.1,3924.9,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2021,Makkah,Domestic,36951.0,170511.0,62005.0,4.61,1678.0,363.6,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2021,Makkah,Inbound,1377.4,11783.0,5928.0,8.55,4303.8,503.1,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2021,Najran,Domestic,1728.0,17540.0,4196.0,10.15,2428.2,239.2,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2021,Najran,Inbound,1267.0,156.0,39.0,0.12,30.8,250.0,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2021,Northern Borders,Domestic,1699.0,11220.0,3603.0,6.6,2120.7,321.1,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2021,Northern Borders,Inbound,253.0,303.0,510.0,1.2,2015.8,1683.2,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2021,Qassim,Domestic,7536.0,45445.0,7755.0,6.03,1029.1,170.6,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2021,Qassim,Inbound,112.0,809.0,478.0,7.22,4267.9,590.9,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
2021,Riyadh,Domestic,23212.0,110878.0,42216.0,4.78,1818.7,380.7,tourism_kaggle,,,2015-2024,,2026-09-13T07:14:44.975226+00:00,False
