indicator,period,dimension,dimension_value,value,unit,source,source_id,source_url,data_period,snapshot_date,retrieved_at,is_live
tourists_by_purpose,2017,trip_purpose|nationality,Visiting Friends & Relatives | Saudi,1148.057446122182,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2017,trip_purpose|nationality,Other | Saudi,284.476512855196,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2017,trip_purpose|nationality,Leisure | Non Saudi,544.994157491777,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2017,trip_purpose|nationality,Business | Non Saudi,4058.00070430053,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2017,trip_purpose|nationality,Visiting Friends & Relatives | Non Saudi,123.193946006594,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2017,trip_purpose|nationality,Other | Non Saudi,7590.996237506404,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2017,trip_purpose|nationality,Religious | Total,20565.41781199937,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2017,trip_purpose|nationality,Leisure | Total,19208.92422615556,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2017,trip_purpose|nationality,Business | Total,15445.26571059286,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2017,trip_purpose|nationality,Visiting Friends & Relatives | Total,15522.16466540342,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2017,trip_purpose|nationality,Other | Total,10333.624875068965,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
tourists_by_purpose,2018,trip_purpose|nationality,Leisure | Saudi,7991.776239270012,count,datasaudi,,https://datasaudi.mep.gov.sa,2014-2025,,2026-09-13T06:19:18.885532+00:00,False
