hotel_id,source_id,name,city,region,price_sar,star_rating,guest_rating,guest_rating_count,room_type,bed_type,max_persons,breakfast_included,free_cancellation,latitude,longitude,source_url,source,data_period,snapshot_date,retrieved_at,is_live
hotels_00630,5000865,القبة الذهبية للأجنحة الفندقية 2,Riyadh,Riyadh,75,,6.9,542,Family Studio,1 bed (1 extra-large double),2,,True,24.631251134778,46.6926278456859,https://www.booking.com/hotel/sa/ldhhby-2.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=500086501_183496007_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=631&highlighted_blocks=500086501_183496007_2_0_0&hpos=6&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=500086501_183496007_2_0_0__7500&srepoch=1587183072&srpvid=1f7e1d6fa30f001a&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl,booking_kaggle,2020,2020-04-24,2026-09-13T06:37:49.339055+00:00,False
hotels_00631,1286622,Hana Yanbu Hotel Apartments,Yanbu,Madinah,75,,7.2,245,Double Room with Private Bathroom,2 beds (2 singles),2,,True,24.13080871,38.00112158,https://www.booking.com/hotel/sa/hana-yanbu-apartments.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=128662201_238107408_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=632&highlighted_blocks=128662201_238107408_2_0_0&hpos=7&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=128662201_238107408_2_0_0__7500&srepoch=1587183072&srpvid=1f7e1d6fa30f001a&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl,booking_kaggle,2020,2020-04-24,2026-09-13T06:37:49.339055+00:00,False
hotels_00632,1815017,OYO 286 Anhaar Al Taif,Taif,Makkah,75,,5.1,400,Standard Studio,1 bed (1 extra-large double),2,,True,21.2951647992705,40.4397324125114,https://www.booking.com/hotel/sa/anhaar-altaif.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=181501705_211811713_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=633&highlighted_blocks=181501705_211811713_2_0_0&hpos=8&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=181501705_211811713_2_0_0__7511&srepoch=1587183072&srpvid=1f7e1d6fa30f001a&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl,booking_kaggle,2020,2020-04-24,2026-09-13T06:37:49.339055+00:00,False
hotels_00633,6357629,منازل فرح,Jeddah,Makkah,76,,,,Studio,1 bed (1 double),2,,True,21.577702,39.230724,https://www.booking.com/hotel/sa/mnzl-frh-jeddah.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=635762901_252573024_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=634&highlighted_blocks=635762901_252573024_2_0_0&hpos=9&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=635762901_252573024_2_0_0__7636&srepoch=1587183072&srpvid=1f7e1d6fa30f001a&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl,booking_kaggle,2020,2020-04-24,2026-09-13T06:37:49.339055+00:00,False
hotels_00634,2464566,الياسمين الأبيض للشقق المفروشة,Jeddah,Makkah,77,,7.4,23,Studio,1 bed (1 double),2,,True,21.6097417895942,39.136752807399,https://www.booking.com/hotel/sa/lysmyn.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=246456604_241251742_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=635&highlighted_blocks=246456604_241251742_2_0_0&hpos=10&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=246456604_241251742_2_0_0__7660&srepoch=1587183072&srpvid=1f7e1d6fa30f001a&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl,booking_kaggle,2020,2020-04-24,2026-09-13T06:37:49.339055+00:00,False
hotels_00635,5733934,نوركم للوحدات السكنية المفروشة,Jeddah,Makkah,78,,6.2,339,One-Bedroom Apartment,1 bed (1 large double),2,,True,21.4829700637868,39.2109909908295,https://www.booking.com/hotel/sa/nwrkm-llwhdt-lskny-lmfrwsh.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=573393401_220930485_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=636&highlighted_blocks=573393401_220930485_2_0_0&hpos=11&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=573393401_220930485_2_0_0__7750&srepoch=1587183072&srpvid=1f7e1d6fa30f001a&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl,booking_kaggle,2020,2020-04-24,2026-09-13T06:37:49.339055+00:00,False
hotels_00636,1910492,ارقي المساكن للوحدات السكنية,Jeddah,Makkah,78,,6.9,133,Studio Apartment,1 bed (1 double),2,,True,21.4946402021733,39.1765366494656,https://www.booking.com/hotel/sa/arqa-almasaken.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=191049202_242482756_0_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=637&highlighted_blocks=191049202_242482756_0_0_0&hpos=12&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=191049202_242482756_0_0_0__7750&srepoch=1587183072&srpvid=1f7e1d6fa30f001a&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl,booking_kaggle,2020,2020-04-24,2026-09-13T06:37:49.339055+00:00,False
hotels_00637,2514391,Leen Aparthotel,Jeddah,Makkah,79,,7.9,191,One-Bedroom Apartment,1 bed (1 large double),3,,True,21.5913184817701,39.1382843675285,https://www.booking.com/hotel/sa/leen-aparthotel.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=251439103_199440686_3_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=638&highlighted_blocks=251439103_199440686_3_0_0&hpos=13&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=251439103_199440686_3_0_0__7900&srepoch=1587183072&srpvid=1f7e1d6fa30f001a&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl,booking_kaggle,2020,2020-04-24,2026-09-13T06:37:49.339055+00:00,False
hotels_00638,1043229,Marasi Al Madinah,Al Khobar,Eastern Province,79,,7.1,220,Studio,1 bed (1 large double),2,,True,26.2909405409971,50.1845115423203,https://www.booking.com/hotel/sa/marasikom-partment-1.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=104322901_195217239_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=639&highlighted_blocks=104322901_195217239_2_0_0&hpos=14&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=104322901_195217239_2_0_0__7900&srepoch=1587183072&srpvid=1f7e1d6fa30f001a&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl,booking_kaggle,2020,2020-04-24,2026-09-13T06:37:49.339055+00:00,False
hotels_00639,2125674,Mouj Elbahr Aparthotel,Yanbu,Madinah,79,,5.9,413,One-Bedroom Apartment,"2 beds (1 single, 1 sofa bed)",2,,True,24.1353782508407,37.9945313930511,https://www.booking.com/hotel/sa/mouj-elbahr-aparthotel.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=212567402_206313180_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=640&highlighted_blocks=212567402_206313180_2_0_0&hpos=15&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=212567402_206313180_2_0_0__7900&srepoch=1587183072&srpvid=1f7e1d6fa30f001a&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl,booking_kaggle,2020,2020-04-24,2026-09-13T06:37:49.339055+00:00,False
hotels_00640,2211908,الروضة للغرف الفندقية,Tabuk,Tabuk,79,,8.5,1,One-Bedroom Apartment,1 bed (1 large double),2,,True,28.413587428504,36.5294037776766,https://www.booking.com/hotel/sa/4rent-suites-alrouda.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=221190801_206648006_0_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=641&highlighted_blocks=221190801_206648006_0_0_0&hpos=16&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=221190801_206648006_0_0_0__7920&srepoch=1587183072&srpvid=1f7e1d6fa30f001a&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl,booking_kaggle,2020,2020-04-24,2026-09-13T06:37:49.339055+00:00,False
hotels_00641,1145510,Zwarah Hotel Suites,Jeddah,Makkah,80,,7.5,151,One-Bedroom Apartment,1 bed (1 extra-large double),2,,True,21.5777551023967,39.2194318771362,https://www.booking.com/hotel/sa/lnzwy-ll-jnhh-lfndqy.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=114551008_145663745_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=642&highlighted_blocks=114551008_145663745_2_0_0&hpos=17&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=114551008_145663745_2_0_0__8000&srepoch=1587183072&srpvid=1f7e1d6fa30f001a&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl,booking_kaggle,2020,2020-04-24,2026-09-13T06:37:49.339055+00:00,False
hotels_00642,2837712,Najmat Sabbabah Furnished Units,Hail,Hail,80,,7.2,150,One-Bedroom Apartment,1 bed (1 large double),2,,True,27.5240460650304,41.6558067693786,https://www.booking.com/hotel/sa/njm-sbb.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=283771201_195423589_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=643&highlighted_blocks=283771201_195423589_2_0_0&hpos=18&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=283771201_195423589_2_0_0__8000&srepoch=1587183072&srpvid=1f7e1d6fa30f001a&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl,booking_kaggle,2020,2020-04-24,2026-09-13T06:37:49.339055+00:00,False
hotels_00643,3913208,Ajwa 3,Al Khobar,Eastern Province,80,,7.8,343,Studio,1 bed (1 extra-large double),2,,True,26.2939668443776,50.1776597981338,https://www.booking.com/hotel/sa/ajwa-3.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=391320801_122443468_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=644&highlighted_blocks=391320801_122443468_2_0_0&hpos=19&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=391320801_122443468_2_0_0__8000&srepoch=1587183072&srpvid=1f7e1d6fa30f001a&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl,booking_kaggle,2020,2020-04-24,2026-09-13T06:37:49.339055+00:00,False
hotels_00644,2231755,Al Eairy Apartments - Al Ahsa 1,Al Ahsa,Eastern Province,80,,5.4,528,Double or Twin Room,2 beds (2 singles),2,,,25.4162727902894,49.5757546790596,https://www.booking.com/hotel/sa/al-eairy-apartments-ihsa-1.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaMQBiAECmAEJuAEJyAER2AED6AEBiAIBqAIDuAKmm9z0BcACAQ&sid=42146239dcdf1e519ee673686891723f&all_sr_blocks=223175508_201858850_2_0_0&checkin=2020-04-24&checkout=2020-04-25&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=645&highlighted_blocks=223175508_201858850_2_0_0&hpos=20&no_rooms=1&sr_order=class_and_price&sr_pri_blocks=223175508_201858850_2_0_0__8000&srepoch=1587183072&srpvid=1f7e1d6fa30f001a&ucfs=1&from=searchresultshttps://www.booking.com;highlight_room=#hotelTmpl,booking_kaggle,2020,2020-04-24,2026-09-13T06:37:49.339055+00:00,False
