id,place_name,is_restaurant,categories,average_rating,rate_count,granular_category,latitude,longitude
705,Maestro Pizza,RESTAURANT,Fast Food|Italian|International|Pizza,4.2,129,restaurants,24.690254,46.682201
706,MXD,RESTAURANT,Healthy,4.4,215,restaurants,24.69001965,46.68234714
707,KEEP FIT‏,RESTAURANT,Healthy,3.7,6,restaurants,24.6940483,46.6793576
708,Krispy Kreme Doughnuts,RESTAURANT,Desserts|Bakery|Beverages|Coffee,4.1,45,restaurants,24.6905618,46.68231463
709,Mad Pizza,RESTAURANT,Desserts|Italian|American|Beverages|International|Pizza,4.3,11,restaurants,24.6906453,46.6823012
710,Lorenzo Pizza,RESTAURANT,Sandwich|Fast Food|Italian|International|Pizza|Pasta|Salads,4.5,308,restaurants,24.6870639,46.6838708
711,Drama,RESTAURANT,Fast Food,4.5,19,restaurants,24.69878866,46.66863747
712,cream,RESTAURANT,Desserts,3.7,16,restaurants,24.6982404,46.67550849
713,Trieste,RESTAURANT,Bakery|Coffee|Breakfast,4.1,168,restaurants,24.6888572,46.6854256
714,Shezan,RESTAURANT,Grill|Seafood|Indian|Meat,4.5,87,restaurants,24.687287,46.68613
715,Roma Restaurant,RESTAURANT,Italian,0,0,restaurants,24.68621862,46.68647488
716,Lemon Pharmacy,OTHER,Pharmacy,4.7,95,pharmacies,24.700279,46.667771
717,Here Burger,RESTAURANT,Fast Food|American|Burgers,4.4,57,restaurants,24.6895454,46.6863041
718,Wagamama,RESTAURANT,Asian,4.2,340,restaurants,24.689661,46.6864
719,Shake Shack,RESTAURANT,American|Burgers,4.2,252,restaurants,24.6896875,46.6864375
720,Kunooz pharmacy,OTHER,Pharmacy,4.7,149,pharmacies,24.700549,46.673281
721,Yauatcha,RESTAURANT,Asian,4.8,51,restaurants,24.68998518,46.68639767
722,IDMI COFFEE ROASTERS,RESTAURANT,Coffee,4.6,41,restaurants,24.6946009,46.6834732
723,Taste Of Dilli Restaurant,RESTAURANT,Grill|Asian|Seafood|Indian|Juices|Vegetarian,4.5,274,restaurants,24.695133,46.683128
724,Hardee's,RESTAURANT,Sandwich|Fast Food|American|Beverages|International|Burgers,4.3,335,restaurants,24.692894,46.685202
725,Marhaba,RESTAURANT,Grill|Indian|Beverages,4.3,115,restaurants,24.682688,46.688537
726,TGB Burger,RESTAURANT,Fast Food|Burgers,2.7,11,restaurants,24.7006087,46.6761159
727,FRSH,RESTAURANT,Healthy|Salads,5,2,restaurants,24.6883768,46.6881764
728,LAOF,RESTAURANT,Sandwich|Fast Food|Breakfast,5,1,restaurants,24.6883768,46.6881764
729,Dara's Ice Cream,RESTAURANT,Desserts|Ice Cream,0,0,restaurants,24.70129002,46.67691134
730,Golden Dragon,RESTAURANT,Desserts|Seafood|Beverages,4.3,107,restaurants,24.68634,46.689407
731,CHick BUN,RESTAURANT,Sandwich|Fast Food|American,4.5,10,restaurants,24.68495035,46.6899571
732,Lusin,RESTAURANT,International,5,2,restaurants,24.6978193,46.6834524
733,Salad &amp; Co,RESTAURANT,Arabic|Healthy,4,16,restaurants,24.6813311,46.6899977
734,Soup &amp; Co,RESTAURANT,Arabic|Healthy,4.2,28,restaurants,24.6813311,46.6899977
735,Bagel &amp; Co,RESTAURANT,Healthy,4.7,6,restaurants,24.6813311,46.6899977
736,Eggs &amp; Co,RESTAURANT,Arabic,4.6,7,restaurants,24.6813311,46.6899977
737,Training Day,RESTAURANT,Sandwich|Healthy|Salads|Breakfast,3.3,3,restaurants,24.6813311,46.6899977
738,Calculeat,RESTAURANT,Sandwich|Healthy|Salads|Breakfast,1,1,restaurants,24.6813311,46.6899977
739,bravo avocado,RESTAURANT,Sandwich|Healthy|Breakfast,4.4,29,restaurants,24.6813311,46.6899977
740,Wild purple acai,RESTAURANT,Fast Food|Desserts|Healthy|Breakfast,4.5,8,restaurants,24.6813311,46.6899977
741,Acai jamboree,RESTAURANT,Healthy|Breakfast,4.6,8,restaurants,24.6813311,46.6899977
742,Let's Acai,RESTAURANT,Fast Food|Desserts|Healthy|Breakfast,4.6,38,restaurants,24.6813311,46.6899977
743,POKE AND CO,RESTAURANT,Fast Food|Desserts|Asian|Healthy|Japanese|Breakfast,4.1,83,restaurants,24.6813311,46.6899977
744,Picante‏‏,RESTAURANT,Sandwich|Fast Food|Mexican|Healthy,3.7,13,restaurants,24.6813311,46.6899977
745,Acai &amp; Co,RESTAURANT,Fast Food|Desserts|Healthy|Breakfast,4.3,36,restaurants,24.6813311,46.6899977
746,Avo &amp;Co,RESTAURANT,Fast Food|Desserts|Healthy|Breakfast,4.8,17,restaurants,24.6813311,46.6899977
747,BID EUYUN,RESTAURANT,Arabic|Breakfast|Pastries,4.6,1425,restaurants,24.6855953,46.6902151
748,Tasty Toast,RESTAURANT,Sandwich|Fast Food|Breakfast,4.2,1322,restaurants,24.69019825,46.68914799
749,1610 Bagel,RESTAURANT,Sandwich|Fast Food|American|Breakfast,4.3,97,restaurants,24.6903761,46.6895209
750,First series - FS,RESTAURANT,Desserts|Coffee,4.4,106,restaurants,24.6813923,46.6915419
751,Paul Sandwiches &amp; Wraps,RESTAURANT,Sandwich|Fast Food|Burgers,3,11,restaurants,24.6972277,46.686498
752,PAUL Salads,RESTAURANT,Fast Food|Healthy|Vegetarian|Salads,4.6,33,restaurants,24.69726364,46.68652952
753,Paul Bakery,RESTAURANT,Bakery|Coffee|International|Breakfast,4.4,42,restaurants,24.6973008,46.6865551
754,Vidro,RESTAURANT,International,3.7,21,restaurants,24.6980483,46.6862105
755,Yugen,RESTAURANT,Asian|Seafood|Sushi|Japanese|Noodles,4.3,51,restaurants,24.69096217,46.6908762
756,Zen,RESTAURANT,Sandwich|Beverages|Healthy|Juices,4.5,10,restaurants,24.69096217,46.6908762
757,CHILL,RESTAURANT,Sandwich|Fast Food|American|Beverages,3.5,65,restaurants,24.69096217,46.6908762
758,Burgerizzr,RESTAURANT,Sandwich|Fast Food|Burgers,4.4,206,restaurants,24.666472,46.683056
759,Burgeration,RESTAURANT,Fast Food|Burgers,4.4,228,restaurants,24.666329,46.6829
760,Grilled Sikh,RESTAURANT,Sandwich|Grill|Arabic,4.2,49,restaurants,24.69097814,46.69091061
761,Greenish,RESTAURANT,Sandwich|Healthy|Salads,4.5,682,restaurants,24.66637344,46.68297237
762,Greenish Keto,RESTAURANT,Healthy,4.6,53,restaurants,24.6664428,46.6831002
763,Let`s Poke Salad,RESTAURANT,Asian,1,1,restaurants,24.6909952,46.6909723
764,Me So Hungry,RESTAURANT,Asian,3.4,8,restaurants,24.6909952,46.6909723
765,Fairuz Garden,RESTAURANT,Sandwich|Arabic|Breakfast,3.7,3,restaurants,24.6909952,46.6909723
766,The Fries Shop,RESTAURANT,American,4.1,21,restaurants,24.6909952,46.6909723
767,One Of,RESTAURANT,Sandwich|Grill|American|Burgers,4.2,24,restaurants,24.6909952,46.6909723
768,HAZZAT CHAPATI,RESTAURANT,Arabic,4.3,49,restaurants,24.6909952,46.6909723
769,Al Majles Al Khaliji,RESTAURANT,Desserts|Arabic,3.8,320,restaurants,24.6909952,46.6909723
770,Woop,RESTAURANT,Desserts|Beverages,4.3,116,restaurants,24.6909952,46.6909723
771,Over Jar,RESTAURANT,Arabic|Lebanese,4.7,366,restaurants,24.6909952,46.6909723
772,Masala Boys,RESTAURANT,Arabic,3.4,5,restaurants,24.6911785,46.6910926
773,Perhaps,RESTAURANT,Salads,4.2,9,restaurants,24.6911785,46.6910926
774,Burrito Boys,RESTAURANT,American,3.9,8,restaurants,24.6911785,46.6910926
775,Basmati Bowls,RESTAURANT,Asian,3.7,3,restaurants,24.6911785,46.6910926
776,Yum,RESTAURANT,Desserts,0,0,restaurants,24.6911785,46.6910926
777,Burger Mama,RESTAURANT,American|Burgers,4.6,15,restaurants,24.6911785,46.6910926
778,Hen House,RESTAURANT,American|Burgers,4.4,59,restaurants,24.6911785,46.6910926
779,Kabbasa,RESTAURANT,Arabic,4,4,restaurants,24.6911785,46.6910926
780,Liberty,RESTAURANT,American,0,0,restaurants,24.6911785,46.6910926
781,Winner Winner Chicken Dinner,RESTAURANT,American,3.6,5,restaurants,24.6911785,46.6910926
782,Hmbrgr,RESTAURANT,American,4.5,135,restaurants,24.6911785,46.6910926
783,Paskalia,RESTAURANT,Desserts|Italian|Bakery|Beverages|Coffee|Shawarma|Burgers|Pizza|Pasta,2.3,3,restaurants,24.697632,46.68705
784,Key Cafe,RESTAURANT,Sandwich|Desserts|Coffee,4.4,57,restaurants,24.665935,46.682801
785,Johnny Rockets,RESTAURANT,American,3.3,54,restaurants,24.6979601,46.68683306
786,Nino,RESTAURANT,Italian|Burgers|Pizza|Sushi,4.3,51,restaurants,24.698146,46.68678
787,Vivenea,RESTAURANT,Sandwich|Desserts|Beverages,4.3,6,restaurants,24.698141,46.686884
788,The Coffe Bean &amp; Teal Leaf,RESTAURANT,Desserts|Coffee|Breakfast,4.3,362,restaurants,24.6976875,46.6873125
789,Mamma Bunz cafe,RESTAURANT,Desserts|Bakery|Beverages|Coffee,4.4,188,restaurants,24.697579,46.687425
790,Earth Bowlz,RESTAURANT,Seafood|Beverages|Healthy|Vegetarian,4.2,185,restaurants,24.6983917,46.6869023
791,dish restaurant,RESTAURANT,Sandwich|Italian|Beverages,0,0,restaurants,24.6793224,46.6928274
792,Red Onion,RESTAURANT,Indian,4,131,restaurants,24.67838,46.693195
793,SHAWAYAT,RESTAURANT,Arabic,4.4,260,restaurants,24.6803198,46.6937459
794,Pinzatta,RESTAURANT,Sandwich|Fast Food|Italian|Healthy|Pizza,4.8,42,restaurants,24.6803508,46.6939493
795,Wrapped,RESTAURANT,Sandwich|Fast Food|Healthy|Vegetarian|Breakfast,4.3,88,restaurants,24.69179396,46.69279558
796,The Good Bowl,RESTAURANT,International|Healthy|Vegetarian|Salads,4.2,99,restaurants,24.69178421,46.69280095
797,Manoushe Street,RESTAURANT,Sandwich|Fast Food|Desserts|Arabic|Bakery|Healthy|Vegetarian|Lebanese|Salads|Breakfast,4.2,370,restaurants,24.69179396,46.69280631
798,Bak Bak Chicken,RESTAURANT,Sandwich|Fast Food|Arabic|American,3,19,restaurants,24.6918429,46.6927921
799,Fern El Balad,RESTAURANT,Arabic|Bakery|Vegetarian|Salads|Breakfast|Pastries,4.3,103,restaurants,24.6918429,46.6927921
800,Hummus Brothers,RESTAURANT,Sandwich|Arabic|Healthy|Vegetarian|Lebanese|Salads|Breakfast,4.2,81,restaurants,24.6918429,46.6927921
801,Naughty B,RESTAURANT,Sandwich|Fast Food|American|Burgers,3.3,18,restaurants,24.691824,46.6928015
802,SUSURU,RESTAURANT,Asian|Beverages|Noodles,4,94,restaurants,24.691824,46.6928015
803,Imm Talal,RESTAURANT,Arabic|Healthy|Vegetarian|Salads,3.6,72,restaurants,24.691824,46.6928015
804,The Palestinian bakery,RESTAURANT,Desserts|Arabic|Bakery|Vegetarian|Breakfast|Pastries,4.4,358,restaurants,24.691824,46.6928015
805,El Bakery,RESTAURANT,Sandwich|Bakery|Vegetarian|Salads|Breakfast|Pastries,4.2,108,restaurants,24.691824,46.6928015
806,Lahmajun,RESTAURANT,Arabic|Bakery|Breakfast,3.5,6,restaurants,24.691824,46.6928015
807,Society Sandwich,RESTAURANT,Sandwich|American,4,7,restaurants,24.6917743,46.6928257
808,Burger Queen,RESTAURANT,Desserts|American|Beverages|Burgers,2.9,24,restaurants,24.6917743,46.6928257
809,Good Day,RESTAURANT,Sandwich|Healthy|Salads,4.4,30,restaurants,24.6917743,46.6928257
810,Pick and Pair,RESTAURANT,Fast Food|Desserts|Asian|Arabic|American|International|Healthy|Burgers|Japanese|Vegetarian|Salads|Breakfast,4.1,19,restaurants,24.6917743,46.6928257
811,OBG Burgers,RESTAURANT,Fast Food|American|Burgers,3.8,304,restaurants,24.6917743,46.6928257
812,Society Pizza,RESTAURANT,Fast Food|Desserts|Italian|Bakery|Pizza|Vegetarian,3.9,386,restaurants,24.6917743,46.6928257
813,Fator Basma,RESTAURANT,Arabic|Breakfast,4.2,41,restaurants,24.6804795,46.6942176
814,Jamaat,RESTAURANT,American|Juices|Burgers,3,1,restaurants,24.6915934,46.6929329
815,What The Crepe,RESTAURANT,Desserts|Beverages,3.5,64,restaurants,24.6915934,46.6929329
816,Koussa Blaban,RESTAURANT,Arabic|Healthy|Vegetarian|Lebanese|Salads,4.1,1001,restaurants,24.6919201,46.6930209
817,Juice Press,RESTAURANT,Beverages|Healthy|Breakfast,4.9,82,restaurants,24.69196056,46.69324599
818,Century Burger,RESTAURANT,Sandwich|Fast Food|American|Burgers,4.5,1023,restaurants,24.698468,46.689316
819,Flat Burger,RESTAURANT,Burgers,3.9,245,restaurants,24.6983769,46.6894499
820,Sushido,RESTAURANT,Seafood|Sushi|Japanese,4.3,845,restaurants,24.6991819,46.6891738
821,Shawarmetna,RESTAURANT,Arabic,3.9,30,restaurants,24.6991819,46.6891738
822,Jarful,RESTAURANT,Desserts,3.9,8,restaurants,24.6991819,46.6891738
823,Operation Falafel,RESTAURANT,Sandwich|Arabic|Falafel|Breakfast,4.3,2361,restaurants,24.6991819,46.6891738
824,Al-Qalzam,RESTAURANT,Seafood,4.1,35,restaurants,24.7079488,46.6643524
825,Shrimp Anatomy,RESTAURANT,Seafood|International,3.9,142,restaurants,24.6992317,46.6894379
826,Maki House,RESTAURANT,Asian|International|Sushi|Japanese,4.5,382,restaurants,24.6992317,46.6894379
827,Baytoti,RESTAURANT,Asian|Seafood|International|Noodles,4.4,1017,restaurants,24.6992317,46.6894379
828,Rice and Roll,RESTAURANT,Asian|International|Sushi|Japanese,3,2,restaurants,24.6992474,46.6894396
829,WOK,RESTAURANT,Asian|International|Noodles,4.4,304,restaurants,24.69926094,46.68949691
830,Dave’s Hot Chicken,RESTAURANT,Fast Food,4.2,1708,restaurants,24.6993117,46.6896133
831,Barbar,RESTAURANT,Sandwich|Bakery|Shawarma|Lebanese,4.3,2039,restaurants,24.69936923,46.68973926
832,Brain Wash,RESTAURANT,Beverages,4.3,3,restaurants,24.69912287,46.6909646
833,Candira,RESTAURANT,Arabic,4.4,64,restaurants,24.6931986,46.6948164
834,Bateel Boutique,RESTAURANT,Desserts,4.9,16,restaurants,24.69984533,46.69082808
835,Cafe Bateel,RESTAURANT,Sandwich|Desserts|Italian|Coffee|Pasta,4.6,353,restaurants,24.699598,46.691054
836,GARDEN SWEET,RESTAURANT,Desserts,3.7,3,restaurants,24.7000861,46.6907725
837,THUNDER,RESTAURANT,Desserts|Coffee|Juices,4,24,restaurants,24.6990847,46.6918353
838,SHE 3A SAJ,RESTAURANT,Sandwich|Fast Food|Arabic|Shawarma,3.7,7,restaurants,24.6831938,46.6976086
839,The Sandwich Company,RESTAURANT,Sandwich|Burgers,4.2,301,restaurants,24.682983,46.697695
840,Quiznos,RESTAURANT,Sandwich|American|Healthy|Juices|Pizza|Salads,4.5,249,restaurants,24.682945,46.697705
841,Red Chick In,RESTAURANT,Fast Food|American,5,5,restaurants,24.68314646,46.69772177
842,Eatwa,RESTAURANT,Sandwich|Bakery|Salads,4.2,133,restaurants,24.7104722,46.6715833
843,Diamond,RESTAURANT,,4.3,9,restaurants,24.69945345,46.6925088
844,Diplomat,RESTAURANT,Desserts|Bakery|Pastries,4.1,70,restaurants,24.698214,46.693533
845,Juwaan,RESTAURANT,Arabic|Egyptian,3.6,7,restaurants,24.7107421,46.6721142
846,ACLA,RESTAURANT,Arabic,3.9,38,restaurants,24.7107421,46.6721142
847,Ekleel Lebanon,RESTAURANT,Lebanese,4.7,64,restaurants,24.710771,46.672244
848,Shawarma Alrimal,RESTAURANT,Sandwich|Arabic|Shawarma,4.5,182,restaurants,24.700519,46.6921043
849,DURMA,RESTAURANT,Desserts,4.2,23,restaurants,24.685256,46.698567
850,Al Medhyaf,RESTAURANT,Desserts|Beverages|Coffee,4.6,148,restaurants,24.685019,46.698641
851,Flicker Burger,RESTAURANT,Burgers,4.2,43,restaurants,24.6980754,46.6941765
852,Raseef 4,RESTAURANT,Sandwich|Fast Food|Desserts|Arabic,4.2,150,restaurants,24.711397,46.671413
853,Shamoly,RESTAURANT,Fast Food|Breakfast,4.2,5,restaurants,24.7113975,46.6714431
854,Baozi,RESTAURANT,Pasta|Noodles,4,11,restaurants,24.7113975,46.6714431
855,SPECIALTY CUPS,RESTAURANT,Desserts|Coffee,5,1,restaurants,24.6871812,46.6991847
856,TABKHA CO,RESTAURANT,Arabic|Saudi,4.4,32,restaurants,24.70187279,46.69207549
857,ABOU AFIF,RESTAURANT,Sandwich,4.5,182,restaurants,24.70187705,46.69207482
858,O fish,RESTAURANT,Arabic,0,0,restaurants,24.7015959,46.6923937
859,PARTY BOX,RESTAURANT,Bakery|Pizza|Breakfast|Pastries,4.4,493,restaurants,24.7015959,46.6923937
860,TSC Signature,RESTAURANT,Sandwich|Italian|Burgers|Pizza|Pasta,4,70,restaurants,24.702082,46.69197
861,Le colza,RESTAURANT,Sandwich|Fast Food|Shawarma|Pasta|Breakfast,3.9,18,restaurants,24.6876767,46.6993725
862,Mana'esh el tannur,RESTAURANT,Bakery|Pastries,2.3,3,restaurants,24.7021652,46.6921345
863,Sanabel Al Salam,RESTAURANT,Desserts,4.5,81,restaurants,24.688432,46.6996463
864,Cone Zone,RESTAURANT,Desserts|Ice Cream,4.4,89,restaurants,24.706692,46.688377
865,Coffee Address,RESTAURANT,Desserts|Coffee,4.3,226,restaurants,24.7071007,46.688565
866,Rootura Restaurant,RESTAURANT,Healthy,4.2,74,restaurants,24.7133418,46.6617369
867,Fatotta,RESTAURANT,Sandwich|Fast Food|Breakfast|Pastries,4.4,197,restaurants,24.70117017,46.69579967
868,Jai Wa Shapati,RESTAURANT,Arabic|Beverages|Breakfast,4.2,570,restaurants,24.7012578,46.6957414
869,Pianta Caffe,RESTAURANT,Sandwich|Desserts|Beverages|Coffee,4.2,194,restaurants,24.701217,46.695864
870,Durrat China,RESTAURANT,Grill|Asian,4.2,162,restaurants,24.70685925,46.69043546
871,Riders Restaurant &amp; cafe,RESTAURANT,Sandwich|Desserts|Beverages|Coffee|Burgers,2,1,restaurants,24.7020285,46.6959989
872,Stearger,RESTAURANT,Healthy|Burgers,3.8,63,restaurants,24.7021239,46.6961589
873,Joker,RESTAURANT,Fast Food|Desserts|Beverages|Coffee|Pizza|Falafel,3.9,108,restaurants,24.7021112,46.6962555
874,FRESH &amp; TANGY,RESTAURANT,Beverages|Coffee|Ice Cream,4.5,36,restaurants,24.702167,46.696441
875,sociale cafe,RESTAURANT,Sandwich|Desserts|Salads|Breakfast,4.4,92,restaurants,24.70162847,46.69719239
876,Banger Burger,RESTAURANT,American|Burgers,4,1,restaurants,24.69570063,46.70075452
877,Saffar,RESTAURANT,Fast Food|American|Breakfast,3.2,6,restaurants,24.69570063,46.70075452
878,Wazwan taste of kashmir,RESTAURANT,Arabic,4,107,restaurants,24.6957635,46.7007505
879,Shekh Al Mandi,RESTAURANT,Arabic,3.9,448,restaurants,24.693811,46.701567
880,Cleaver Burger,RESTAURANT,American|Burgers,4.4,78,restaurants,24.69570147,46.70084766
881,Bok Bok Grilled Chicken,RESTAURANT,Fast Food|Grill|Arabic,4.1,531,restaurants,24.69576422,46.70083559
882,Kin,RESTAURANT,Desserts|Arabic|Coffee,3.6,5,restaurants,24.6958422,46.7008195
883,Royale Fried Chicken,RESTAURANT,Arabic,4,8,restaurants,24.6958422,46.7008195
884,Wafrat Alsafwah,RESTAURANT,Desserts|Arabic|Breakfast,3.6,47,restaurants,24.6958422,46.7008195
885,Soulfull,RESTAURANT,Sandwich|Healthy|Salads|Breakfast,5,1,restaurants,24.6958422,46.7008195
886,House of Chicken,RESTAURANT,Fast Food|Burgers,2.9,61,restaurants,24.6958422,46.7008195
887,COMIO,RESTAURANT,American|Burgers,4,3,restaurants,24.6958422,46.7008195
888,Voom,RESTAURANT,Sandwich|Desserts|Coffee,4.2,197,restaurants,24.6958422,46.7008195
889,Shwkat,RESTAURANT,Fast Food|American,4.5,127,restaurants,24.6958422,46.7008195
890,Tikco,RESTAURANT,Arabic,3.9,104,restaurants,24.6958422,46.7008195
891,Tebsi,RESTAURANT,Arabic|Saudi,4.2,332,restaurants,24.6959118,46.7008505
892,Tahlia Taste,RESTAURANT,Desserts,4.2,73,restaurants,24.7026367,46.6972885
893,Wahmy,RESTAURANT,Fast Food|Burgers,3.3,1309,restaurants,24.702809,46.6978766
894,BLABAN,RESTAURANT,Desserts|Arabic|Bakery|Egyptian|International|Ice Cream|Vegetarian|Pastries,4,5098,restaurants,24.7029474,46.6982059
895,konafa w basbosa,RESTAURANT,Desserts,3.9,1643,restaurants,24.70288998,46.69826013
896,SEVEN BEANS COFFEE HOUSE,RESTAURANT,Desserts|Bakery|Beverages|Coffee,4.3,29,restaurants,24.7023886,46.6986869
897,Hero delights,RESTAURANT,Sandwich|Fast Food|Arabic|Healthy,0,0,restaurants,24.70259243,46.6992448
898,Dolce Ragusa,RESTAURANT,Desserts|Coffee,4.7,235,restaurants,24.696539,46.703386
899,CUSINA,RESTAURANT,Grill|Seafood,4.4,45,restaurants,24.69236404,46.70502171
900,Sushi Cutie,RESTAURANT,Asian,5,2,restaurants,24.6924469,46.7050378
901,Petit Louis Entrecote,RESTAURANT,Seafood,4.6,13,restaurants,24.7029868,46.7001555
902,Al Rawaq Al Shabi,RESTAURANT,Arabic|Saudi,3.1,16,restaurants,24.70308463,46.70025285
903,TMT Burger,RESTAURANT,Fast Food|American,4.3,78,restaurants,24.70350257,46.7006875
904,Ramira cafe,RESTAURANT,Desserts|Coffee,5,1,restaurants,24.7033097,46.7009139
905,Chili's,RESTAURANT,Sandwich|American,4.3,133,restaurants,24.703429,46.701476
906,Levantine moments,RESTAURANT,Arabic,3.8,4,restaurants,24.7181888,46.68073192
907,Reyash,RESTAURANT,Arabic,4.4,14,restaurants,24.7045596,46.701991
908,Feluka,RESTAURANT,Seafood,4.3,39,restaurants,24.7046733,46.7020972
909,Five Guys,RESTAURANT,Fast Food|American|Beverages|Burgers,4.5,651,restaurants,24.704729,46.70275
910,Abu Nadim,RESTAURANT,Grill|Arabic|Lebanese|Salads|Pastries,4.4,66,restaurants,24.7047974,46.7029452
911,Florian,RESTAURANT,Desserts|Coffee,5,1,restaurants,24.7206678,46.6565446
912,Anoosh,RESTAURANT,Desserts|Bakery|Beverages|Coffee,4.8,66,restaurants,24.72103201,46.65641091
913,Sultan Coffee,RESTAURANT,Desserts|Coffee,4,58,restaurants,24.721236,46.656099
914,Dani,RESTAURANT,Fast Food|Pizza|Pastries,3.9,70,restaurants,24.7246184,46.6773182
915,Kayu Bakehouse,RESTAURANT,Arabic,0,0,restaurants,24.7068935,46.7068173
916,Jolt,RESTAURANT,Desserts|Coffee,3.8,39,restaurants,24.7068935,46.7068173
917,Sabroso,RESTAURANT,Arabic|Breakfast,4.5,65,restaurants,24.7246122,46.658112
918,Furan Al Dayaa,RESTAURANT,Sandwich|Arabic|Bakery,4.4,652,restaurants,24.724722,46.657901
919,Little Caesar's pizza,RESTAURANT,Fast Food|Italian|Pizza,4.3,274,restaurants,24.724785,46.656011
920,Bagelato,RESTAURANT,Sandwich|Desserts|Beverages|Burgers,4.2,17,restaurants,24.714408,46.634522
921,Khaliah,RESTAURANT,Bakery,4.1,17,restaurants,24.714408,46.634522
922,Yoo pasta,RESTAURANT,Italian|Pasta,4.4,60,restaurants,24.7145117,46.6343997
923,Pizza Amore,RESTAURANT,Italian|Arabic,0,0,restaurants,24.7314849,46.6491217
924,Chez Lily's,RESTAURANT,Desserts|Grill|Arabic|International|Burgers,3,2,restaurants,24.7314849,46.6491217
925,also,RESTAURANT,American,5,8,restaurants,24.7321032,46.6488409
926,Hindwich,RESTAURANT,Sandwich|Fast Food,3.7,7,restaurants,24.7321036,46.6488407
927,Baggio,RESTAURANT,Italian|Pasta,4,1,restaurants,24.73214462,46.64890796
928,Ruhi,RESTAURANT,Indian,4.5,85,restaurants,24.732182,46.648778
929,Shawarma Harat,RESTAURANT,Sandwich|Arabic|Shawarma,3.6,27,restaurants,24.7322366,46.6487135
930,Crispish,RESTAURANT,Sandwich|Fast Food|American|Burgers,4.4,281,restaurants,24.7332512,46.6486745
931,N5,RESTAURANT,Desserts|Coffee,4.1,111,restaurants,24.7342426,46.648352
932,Lorenzo Pizza,RESTAURANT,Sandwich|Fast Food|Italian|International|Pizza|Pasta|Salads,4.5,317,restaurants,24.6889905,46.6465317
933,Herfy,RESTAURANT,Sandwich|Fast Food|Burgers,4.3,409,restaurants,24.6893176,46.6469631
934,SALT AND PEPPER,RESTAURANT,Asian|Indian,4.3,106,restaurants,24.68778951,46.64096503
935,Sweet and Spicy,RESTAURANT,Asian|Indian|Pakistani,4.4,266,restaurants,24.68780025,46.64096111
936,Kut,RESTAURANT,Desserts,0,0,restaurants,24.6867542,46.6378077
