Year,Gross Travel Propensity,Inbound Tourism Expenditure over Current Account Credits,Inbound Tourism Expenditure over Exports of Goods,Inbound Tourism Expenditure over Exports of Services,Inbound Tourism Expenditure over GDP,Inbound Tourism Expenditure over Total Exports,Outbound Tourism Expenditure over Current Account Debits,Outbound Tourism Expenditure over GDP,Outbound Tourism Expenditure over Imports of Goods,Outbound Tourism Expenditure over Imports of Services,Outbound Tourism Expenditure over Total Imports,Tourism Balance over GDP,Tourism Contribution to GFCF,Tourism Contribution to Government Consumption,Tourism Contribution to Non-Oil GVA,Tourism Coverage,Tourism Direct Contribution to GDP,Tourism Employment Share (Domestic Labor),Tourism Employment Share (Non-Domestic Labor),Tourism Employment Share (Private Sector),Tourism Intensity,Tourism Openness,Tourism Share of Non-Oil Exports
2019,2.0766157012613182,0.06395052040214201,0.0758711200641146,0.7052367695153127,0.023670430084205014,0.06850155314950727,0.06634397689810366,0.019574691122265002,0.118304155595006,0.18202011258798576,0.07170161722631344,0.004095738961940013,0.05785745487380205,0.023447540932995795,0.05252227745711441,1.2092364541722633,0.036308815125674014,0.042652084706304064,0.05888019862568576,0.07017837242077558,2.030469896650914,0.04324512120647001,0.22446832255868995
2020,1.5249782245107855,0.02248596462558058,0.026718549287565764,0.42225030876104164,0.0063265370545732245,0.02512850386852515,0.045404924646011355,0.012773700867160115,0.07531216095778984,0.13632402155648732,0.048511821239181414,-0.00644716381258689,0.029906314607730192,0.005776302447607361,0.020575630024911543,0.4952783159998766,0.01613416711290066,0.05129465357649824,0.07076075125230986,0.08511105344391315,1.502221739509933,0.01910023792173334,0.07311414696322416
2021,2.2898095580985474,0.014706203096560795,0.016796872612463407,0.363942669883044,0.005307140516645404,0.016055854414799706,0.056914487146315,0.015019887199601106,0.09500090000451519,0.1789239202323585,0.06205327958127837,-0.009712746682955702,0.05743799144558472,0.004531988438062056,0.03414351182554681,0.3533409037044133,0.024528828444490593,0.05848547952900515,0.07795720184287724,0.09437569556519323,2.1333045868617106,0.020327027716246508,0.05415317573379959
2022,3.150597091538564,0.05912689543948944,0.06868729101174037,0.6965184659297237,0.025478869638633484,0.0625217023400226,0.06453930296596923,0.016833338373392577,0.10723291357766392,0.1959175710272799,0.06930159451894713,0.008645531265240905,0.06945160113778504,0.024655972573646105,0.05697456195587808,1.5135957629715542,0.03459588616474107,0.059636715683411404,0.07889161290565463,0.09341097805583878,3.142462520455249,0.04231220801202606,0.22818979573386816
2023,3.0399945037095066,0.09991441145795375,0.12761894525404746,0.7489024297801457,0.03353574524762978,0.10903800056559625,0.08069618552461791,0.02260738081165616,0.1450480192152101,0.23909456575248658,0.09027948091314925,0.010928364435973616,0.06294652850924908,0.03515121921731256,0.06275588922757008,1.483398078132919,0.04426461465953753,0.05825055968514626,0.07673133990399296,0.08991757892087944,3.244363134845066,0.05614312605928593,0.3243517348902652
2024,3.119537748709075,0.11353689119078174,0.15154271930686838,0.7379859472863616,0.03694821460950608,0.12572545603319135,0.0848868737668492,0.025292156527771968,0.14839565583180697,0.25360172263317604,0.0936160183281004,0.011656058081734113,0.05868515124392248,0.038046743599243815,0.06648331490313587,1.4608566323292842,0.049218443737040346,0.05469195524966515,0.07086781658750843,0.0816497950288401,3.282829541295423,0.06224037113727805,0.3231098779597941
