Accommodation Type ID,Accommodation Type,Province ID,Province,Year,Occupancy Rate
2,Apartments and Others,9,Northern Borders,2024,0.43730306084557846
2,Apartments and Others,10,Jazan,2021,0.45291534949069195
2,Apartments and Others,10,Jazan,2022,0.4461043426710656
2,Apartments and Others,10,Jazan,2023,0.45261074107726157
2,Apartments and Others,10,Jazan,2024,0.4705611202243381
2,Apartments and Others,11,Najran,2021,0.5314353786823349
2,Apartments and Others,11,Najran,2022,0.5812975294843257
2,Apartments and Others,11,Najran,2023,0.5804587637891788
2,Apartments and Others,11,Najran,2024,0.5682775693753099
2,Apartments and Others,12,Al-Baha,2021,0.3651023149245477
2,Apartments and Others,12,Al-Baha,2022,0.3582259585166562
2,Apartments and Others,12,Al-Baha,2023,0.36262588108475863
2,Apartments and Others,12,Al-Baha,2024,0.37907052259734125
2,Apartments and Others,13,Al-Jouf,2021,0.42563951778888565
2,Apartments and Others,13,Al-Jouf,2022,0.45946723393594097
2,Apartments and Others,13,Al-Jouf,2023,0.4169066485828681
2,Apartments and Others,13,Al-Jouf,2024,0.41153528132751765
2,Apartments and Others,15,Grand Total,2021,0.500815351420353
2,Apartments and Others,15,Grand Total,2022,0.5194204651801092
2,Apartments and Others,15,Grand Total,2023,0.5390783600077462
2,Apartments and Others,15,Grand Total,2024,0.5522937821661001
3,Grand Total,15,Grand Total,2021,0.46322733044657954
3,Grand Total,15,Grand Total,2022,0.5301215431733588
3,Grand Total,15,Grand Total,2023,0.5668775397613828
3,Grand Total,15,Grand Total,2024,0.5473830129167176
