Accommodation Type ID,Accommodation Type,Province ID,Province,Year,Month ID,Month,Occupancy Rate
1,Hotels,2,Makkah Al-Mokarramah,2022,202210,2022-10,0.5157992348399095
1,Hotels,2,Makkah Al-Mokarramah,2022,202211,2022-11,0.5438104039708264
1,Hotels,2,Makkah Al-Mokarramah,2022,202212,2022-12,0.5869114124566823
1,Hotels,2,Makkah Al-Mokarramah,2023,202301,2023-01,0.5825078991459123
1,Hotels,2,Makkah Al-Mokarramah,2023,202302,2023-02,0.6296250842752227
1,Hotels,2,Makkah Al-Mokarramah,2023,202303,2023-03,0.5925759385028734
1,Hotels,2,Makkah Al-Mokarramah,2023,202304,2023-04,0.6028488691329221
1,Hotels,2,Makkah Al-Mokarramah,2023,202305,2023-05,0.4285341677169454
1,Hotels,2,Makkah Al-Mokarramah,2023,202306,2023-06,0.597747992114003
1,Hotels,2,Makkah Al-Mokarramah,2023,202307,2023-07,0.5301003443280404
1,Hotels,2,Makkah Al-Mokarramah,2023,202308,2023-08,0.5043081557536868
1,Hotels,2,Makkah Al-Mokarramah,2023,202309,2023-09,0.4460246957281436
1,Hotels,2,Makkah Al-Mokarramah,2023,202310,2023-10,0.5040999894108079
1,Hotels,2,Makkah Al-Mokarramah,2023,202311,2023-11,0.5838985113201737
1,Hotels,2,Makkah Al-Mokarramah,2023,202312,2023-12,0.5731164879967106
1,Hotels,2,Makkah Al-Mokarramah,2024,202401,2024-01,0.5834300579268402
1,Hotels,2,Makkah Al-Mokarramah,2024,202402,2024-02,0.5857952243718845
1,Hotels,2,Makkah Al-Mokarramah,2024,202403,2024-03,0.5596343089123477
1,Hotels,2,Makkah Al-Mokarramah,2024,202404,2024-04,0.5140412258734102
1,Hotels,2,Makkah Al-Mokarramah,2024,202405,2024-05,0.4184009647686943
1,Hotels,2,Makkah Al-Mokarramah,2024,202406,2024-06,0.7159990370651256
1,Hotels,2,Makkah Al-Mokarramah,2024,202407,2024-07,0.37977703424359094
1,Hotels,2,Makkah Al-Mokarramah,2024,202408,2024-08,0.40261505549707705
1,Hotels,2,Makkah Al-Mokarramah,2024,202409,2024-09,0.38124062114496166
1,Hotels,2,Makkah Al-Mokarramah,2024,202410,2024-10,0.4392242513040128
1,Hotels,2,Makkah Al-Mokarramah,2024,202411,2024-11,0.49902244739352775
1,Hotels,2,Makkah Al-Mokarramah,2024,202412,2024-12,0.5341544392722742
1,Hotels,3,Al-Madinah Al-Monawarah,2021,202101,2021-01,0.41421010266690966
1,Hotels,3,Al-Madinah Al-Monawarah,2021,202102,2021-02,0.23519342411131947
1,Hotels,3,Al-Madinah Al-Monawarah,2021,202103,2021-03,0.3032610387588855
1,Hotels,3,Al-Madinah Al-Monawarah,2021,202104,2021-04,0.20218084990919155
1,Hotels,3,Al-Madinah Al-Monawarah,2021,202105,2021-05,0.34022269551491363
1,Hotels,3,Al-Madinah Al-Monawarah,2021,202106,2021-06,0.31584335807524955
1,Hotels,3,Al-Madinah Al-Monawarah,2021,202107,2021-07,0.346003629419085
1,Hotels,3,Al-Madinah Al-Monawarah,2021,202108,2021-08,0.28693548338134717
1,Hotels,3,Al-Madinah Al-Monawarah,2021,202109,2021-09,0.3208550127911207
1,Hotels,3,Al-Madinah Al-Monawarah,2021,202110,2021-10,0.41492204343591577
1,Hotels,3,Al-Madinah Al-Monawarah,2021,202111,2021-11,0.4769822160266971
1,Hotels,3,Al-Madinah Al-Monawarah,2021,202112,2021-12,0.5229653036998503
1,Hotels,3,Al-Madinah Al-Monawarah,2022,202201,2022-01,0.4715428628594136
1,Hotels,3,Al-Madinah Al-Monawarah,2022,202202,2022-02,0.6393510466358334
1,Hotels,3,Al-Madinah Al-Monawarah,2022,202203,2022-03,0.7319477401262415
1,Hotels,3,Al-Madinah Al-Monawarah,2022,202204,2022-04,0.7320660657850523
