entertainment_id,name,genre,rating,review_count,city,region,country,best_comment,source,source_id,source_url,data_period,snapshot_date,retrieved_at,is_live
entertainment_00495,منطقة أوايسس | Oasis Zone,Tourist attraction,4.0,182,Riyadh,Riyadh,Saudi Arabia,Temporarily closed,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00496,Syrup,Corporate office,4.5,406,Ad Dilam,,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00497,Chifty شفتي,,4.1,1700,Riyadh,Riyadh,Saudi Arabia,"Hip place with global eats, shisha & DJs",entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00498,روضة الخرارة,State park,4.2,3500,Al Muzahimiyah,Riyadh,Saudi Arabia,"""Among one of the emerging Visiting Places near to Riyadh..""",entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00499,Al Orjouan,Buffet,4.3,705,Riyadh,Riyadh,Saudi Arabia,Buffet restaurant at the Ritz-Carlton,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00500,Bulalohan sa Riyadh,Filipino,4.3,258,Riyadh,Riyadh,Saudi Arabia,"""Delicious food and have vedioke for entertainment""",entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00501,Seafood restaurants,Seafood,3.3,4,Riyadh,Riyadh,Saudi Arabia,Dine-in·,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00502,حديقة الوطن,Theme park,4.2,8400,Riyadh,Riyadh,Saudi Arabia,Temporarily closed,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00503,Subaie heritage house,Tourist attraction,4.3,192,Shaqra,Riyadh,Saudi Arabia,Temporarily closed,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00504,WORLD SIGHTS PARK,Tourist attraction,4.1,3100,Riyadh,Riyadh,Saudi Arabia,Temporarily closed,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00505,منطقة أوايسس | Oasis Zone,Tourist attraction,4.0,182,Riyadh,Riyadh,Saudi Arabia,Temporarily closed,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00506,موسم الجيمرز,Tourist attraction,4.3,68,Riyadh,Riyadh,Saudi Arabia,Temporarily closed,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00507,كريته لاونج - karretah lounge,Tourist attraction,4.4,12,,,Saudi Arabia,Temporarily closed,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00508,Jammoly World,Children's amusement center,5.0,1,Riyadh,Riyadh,Saudi Arabia,Temporarily closed,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00509,Red Sea Beach,Children's amusement center,4.5,137,Riyadh,Riyadh,Saudi Arabia,Temporarily closed,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00510,The Secret Room,Escape room center,4.2,353,Riyadh,Riyadh,Saudi Arabia,Temporarily closed,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00511,Tim Tech Rimal Center,Children's amusement center,5.0,2,Riyadh,Riyadh,Saudi Arabia,Temporarily closed,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00512,Mabelle,Children's amusement center,4.7,42,Riyadh,Riyadh,Saudi Arabia,Temporarily closed,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00513,RIM rural farm in Dalam,Farm,4.4,266,Ad Dilam,,Saudi Arabia,,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00514,Chifty شفتي,,4.1,1700,Riyadh,Riyadh,Saudi Arabia,"Hip place with global eats, shisha & DJs",entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00515,روضة الخرارة,State park,4.2,3500,Al Muzahimiyah,Riyadh,Saudi Arabia,"""Among one of the emerging Visiting Places near to Riyadh..""",entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00516,The Secret Room,Escape room center,4.2,353,Riyadh,Riyadh,Saudi Arabia,Temporarily closed,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00517,Tim Tech Rimal Center,Children's amusement center,5.0,2,Riyadh,Riyadh,Saudi Arabia,Temporarily closed,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00518,Mabelle,Children's amusement center,4.7,42,Riyadh,Riyadh,Saudi Arabia,Temporarily closed,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00519,موسم الجيمرز,Tourist attraction,4.3,68,Riyadh,Riyadh,Saudi Arabia,Temporarily closed,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
entertainment_00520,كريته لاونج - karretah lounge,Tourist attraction,4.4,12,,,Saudi Arabia,Temporarily closed,entertainment_kaggle,,,static,,2026-09-13T08:48:56.913228+00:00,False
