canonical_id,name,entity_types,city,region,latitude,longitude,n_members,n_sources,sources,member_ids
RYD_003157,Grape leaves,place,Riyadh,Riyadh,24.73441383,46.77711345,1,1,riyadh_places_kaggle,places_05161
RYD_003158,Grape leaves RT,place,Riyadh,Riyadh,24.777676,46.7759083,1,1,riyadh_places_kaggle,places_01781
RYD_003159,Grape leaves RT,place,Riyadh,Riyadh,24.83234951,46.62387621,1,1,riyadh_places_kaggle,places_04036
RYD_003160,Grape leaves RT,place,Riyadh,Riyadh,24.7465393,46.5792162,1,1,riyadh_places_kaggle,places_06968
RYD_003161,Grape leaves and sambosa,place,Riyadh,Riyadh,24.574947,46.675597,1,1,riyadh_places_kaggle,places_08474
RYD_003162,Grapes And Cherries,place,Riyadh,Riyadh,24.576608,46.749774,1,1,riyadh_places_kaggle,places_08125
RYD_003163,Graviton,place,Riyadh,Riyadh,24.7717601,46.6975069,1,1,riyadh_places_kaggle,places_03422
RYD_003164,Gravity Burger,place,Riyadh,Riyadh,24.80096354,46.60152524,1,1,riyadh_places_kaggle,places_04396
RYD_003165,Grbs,place,Riyadh,Riyadh,24.637399,46.549811,1,1,riyadh_places_kaggle,places_07049
RYD_003166,Green Falafel,place,Riyadh,Riyadh,24.6973573,46.704339,1,1,riyadh_places_kaggle,places_05174
RYD_003167,Green Fork Salad,place,Riyadh,Riyadh,24.771243045,46.620818119999996,2,1,riyadh_places_kaggle,places_04236|places_04238
RYD_003168,Green Health,place,Riyadh,Riyadh,24.6574337,46.7008237,1,1,riyadh_places_kaggle,places_00044
RYD_003169,Green Health,place,Riyadh,Riyadh,24.7083788,46.7506,1,1,riyadh_places_kaggle,places_05725
RYD_003170,Green Health,place,Riyadh,Riyadh,24.7515074,46.7000346,1,1,riyadh_places_kaggle,places_06412
RYD_003171,Green Health,place,Riyadh,Riyadh,24.7428935,46.6800495,1,1,riyadh_places_kaggle,places_06804
RYD_003172,Green Health,place,Riyadh,Riyadh,24.81994105,46.76198475,1,1,riyadh_places_kaggle,places_07638
RYD_003173,Green Mill Bakery,place,Riyadh,Riyadh,24.8225166,46.6499255,1,1,riyadh_places_kaggle,places_03311
RYD_003174,Green Tomato,place,Riyadh,Riyadh,24.8175489,46.76484792,1,1,riyadh_places_kaggle,places_04352
