canonical_id_a,source_a,id_a,name_a,canonical_id_b,source_b,id_b,name_b,city,name_sim
RYD_001807,riyadh_places_kaggle,places_08707,Chuck E Cheese,RYD_001812,entertainment_kaggle,entertainment_00482,Chuck E Cheese's,Riyadh,0.933
RYD_008147,riyadh_places_kaggle,places_02947,VOX Cinemas,RYD_008877,entertainment_kaggle,entertainment_00003,vox cinemas,Riyadh,1.0
RYD_008147,riyadh_places_kaggle,places_02947,VOX Cinemas,RYD_008875,entertainment_kaggle,entertainment_00013,vox cinema,Riyadh,0.952
RYD_008147,riyadh_places_kaggle,places_02947,VOX Cinemas,RYD_008876,entertainment_kaggle,entertainment_00022,vox cinema,Riyadh,0.952
RYD_008147,riyadh_places_kaggle,places_02947,VOX Cinemas,RYD_008152,entertainment_kaggle,entertainment_00036,VOX Cinemas,Riyadh,1.0
RYD_008147,riyadh_places_kaggle,places_02947,VOX Cinemas,RYD_008153,entertainment_kaggle,entertainment_00045,VOX Cinemas,Riyadh,1.0
RYD_008147,riyadh_places_kaggle,places_02947,VOX Cinemas,RYD_008159,entertainment_kaggle,entertainment_00068,VOX cinema,Riyadh,0.952
RYD_008147,riyadh_places_kaggle,places_02947,VOX Cinemas,RYD_008160,entertainment_kaggle,entertainment_00078,VOX cinema,Riyadh,0.952
RYD_008148,riyadh_places_kaggle,places_05317,VOX Cinemas,RYD_008877,entertainment_kaggle,entertainment_00003,vox cinemas,Riyadh,1.0
RYD_008148,riyadh_places_kaggle,places_05317,VOX Cinemas,RYD_008875,entertainment_kaggle,entertainment_00013,vox cinema,Riyadh,0.952
RYD_008148,riyadh_places_kaggle,places_05317,VOX Cinemas,RYD_008876,entertainment_kaggle,entertainment_00022,vox cinema,Riyadh,0.952
RYD_008148,riyadh_places_kaggle,places_05317,VOX Cinemas,RYD_008152,entertainment_kaggle,entertainment_00036,VOX Cinemas,Riyadh,1.0
RYD_008148,riyadh_places_kaggle,places_05317,VOX Cinemas,RYD_008153,entertainment_kaggle,entertainment_00045,VOX Cinemas,Riyadh,1.0
RYD_008148,riyadh_places_kaggle,places_05317,VOX Cinemas,RYD_008159,entertainment_kaggle,entertainment_00068,VOX cinema,Riyadh,0.952
RYD_008148,riyadh_places_kaggle,places_05317,VOX Cinemas,RYD_008160,entertainment_kaggle,entertainment_00078,VOX cinema,Riyadh,0.952
RYD_008149,riyadh_places_kaggle,places_06757,VOX Cinemas,RYD_008877,entertainment_kaggle,entertainment_00003,vox cinemas,Riyadh,1.0
RYD_008149,riyadh_places_kaggle,places_06757,VOX Cinemas,RYD_008875,entertainment_kaggle,entertainment_00013,vox cinema,Riyadh,0.952
RYD_008149,riyadh_places_kaggle,places_06757,VOX Cinemas,RYD_008876,entertainment_kaggle,entertainment_00022,vox cinema,Riyadh,0.952
RYD_008149,riyadh_places_kaggle,places_06757,VOX Cinemas,RYD_008152,entertainment_kaggle,entertainment_00036,VOX Cinemas,Riyadh,1.0
RYD_008149,riyadh_places_kaggle,places_06757,VOX Cinemas,RYD_008153,entertainment_kaggle,entertainment_00045,VOX Cinemas,Riyadh,1.0
RYD_008149,riyadh_places_kaggle,places_06757,VOX Cinemas,RYD_008159,entertainment_kaggle,entertainment_00068,VOX cinema,Riyadh,0.952
RYD_008149,riyadh_places_kaggle,places_06757,VOX Cinemas,RYD_008160,entertainment_kaggle,entertainment_00078,VOX cinema,Riyadh,0.952
RYD_008150,riyadh_places_kaggle,places_07422,VOX Cinemas,RYD_008877,entertainment_kaggle,entertainment_00003,vox cinemas,Riyadh,1.0
RYD_008150,riyadh_places_kaggle,places_07422,VOX Cinemas,RYD_008875,entertainment_kaggle,entertainment_00013,vox cinema,Riyadh,0.952
RYD_008150,riyadh_places_kaggle,places_07422,VOX Cinemas,RYD_008876,entertainment_kaggle,entertainment_00022,vox cinema,Riyadh,0.952
RYD_008150,riyadh_places_kaggle,places_07422,VOX Cinemas,RYD_008152,entertainment_kaggle,entertainment_00036,VOX Cinemas,Riyadh,1.0
RYD_008150,riyadh_places_kaggle,places_07422,VOX Cinemas,RYD_008153,entertainment_kaggle,entertainment_00045,VOX Cinemas,Riyadh,1.0
RYD_008150,riyadh_places_kaggle,places_07422,VOX Cinemas,RYD_008159,entertainment_kaggle,entertainment_00068,VOX cinema,Riyadh,0.952
RYD_008150,riyadh_places_kaggle,places_07422,VOX Cinemas,RYD_008160,entertainment_kaggle,entertainment_00078,VOX cinema,Riyadh,0.952
RYD_008151,riyadh_places_kaggle,places_08207,VOX Cinemas,RYD_008877,entertainment_kaggle,entertainment_00003,vox cinemas,Riyadh,1.0
RYD_008151,riyadh_places_kaggle,places_08207,VOX Cinemas,RYD_008875,entertainment_kaggle,entertainment_00013,vox cinema,Riyadh,0.952
RYD_008151,riyadh_places_kaggle,places_08207,VOX Cinemas,RYD_008876,entertainment_kaggle,entertainment_00022,vox cinema,Riyadh,0.952
RYD_008151,riyadh_places_kaggle,places_08207,VOX Cinemas,RYD_008152,entertainment_kaggle,entertainment_00036,VOX Cinemas,Riyadh,1.0
RYD_008151,riyadh_places_kaggle,places_08207,VOX Cinemas,RYD_008153,entertainment_kaggle,entertainment_00045,VOX Cinemas,Riyadh,1.0
RYD_008151,riyadh_places_kaggle,places_08207,VOX Cinemas,RYD_008159,entertainment_kaggle,entertainment_00068,VOX cinema,Riyadh,0.952
RYD_008151,riyadh_places_kaggle,places_08207,VOX Cinemas,RYD_008160,entertainment_kaggle,entertainment_00078,VOX cinema,Riyadh,0.952
