canonical_id,source,source_entity_id,entity_type,name,city,region
RYD_004537,riyadh_places_kaggle,places_00385,place,Lebanese Fatayer Restaurant,Riyadh,Riyadh
RYD_004538,riyadh_places_kaggle,places_00442,place,Lebanese Flowers' Roses Restaurant,Riyadh,Riyadh
RYD_004539,riyadh_places_kaggle,places_03670,place,Lebanese Pie,Riyadh,Riyadh
RYD_004540,riyadh_places_kaggle,places_07088,place,Lebanon Garden,Riyadh,Riyadh
RYD_004541,riyadh_places_kaggle,places_07997,place,Lebanon Garden,Riyadh,Riyadh
RYD_004542,riyadh_places_kaggle,places_04307,place,Lebanon L&amp;R,Riyadh,Riyadh
RYD_004543,riyadh_places_kaggle,places_02226,place,Lebanon Rose Restaurant,Riyadh,Riyadh
RYD_004544,riyadh_places_kaggle,places_01698,place,Lee Lantee,Riyadh,Riyadh
RYD_004545,riyadh_places_kaggle,places_05659,place,Lee Lantee,Riyadh,Riyadh
RYD_004546,riyadh_places_kaggle,places_07232,place,Lee Lantee,Riyadh,Riyadh
RYD_004547,riyadh_places_kaggle,places_01474,place,Leen Shawarma,Riyadh,Riyadh
RYD_004548,riyadh_places_kaggle,places_06885,place,Leen Shawarma,Riyadh,Riyadh
RYD_004549,riyadh_places_kaggle,places_07105,place,Leen Shawarma,Riyadh,Riyadh
RYD_004550,riyadh_places_kaggle,places_01956,place,Leen Sweets,Riyadh,Riyadh
RYD_004551,riyadh_places_kaggle,places_07737,place,Legend Pizza,Riyadh,Riyadh
RYD_004552,riyadh_places_kaggle,places_07878,place,Legend Pizza,Riyadh,Riyadh
RYD_004553,riyadh_places_kaggle,places_08647,place,Legend Pizza,Riyadh,Riyadh
RYD_004554,riyadh_places_kaggle,places_05905,place,Leila from Lebanon,Riyadh,Riyadh
RYD_004555,riyadh_places_kaggle,places_05042,place,Lele,Riyadh,Riyadh
RYD_004556,riyadh_places_kaggle,places_04232,place,Lemon Leaves,Riyadh,Riyadh
RYD_004557,riyadh_places_kaggle,places_00632,place,Lemon Pharmacy,Riyadh,Riyadh
RYD_004558,riyadh_places_kaggle,places_00715,place,Lemon Pharmacy,Riyadh,Riyadh
RYD_004559,riyadh_places_kaggle,places_02134,place,Lemon Pharmacy,Riyadh,Riyadh
RYD_004560,riyadh_places_kaggle,places_03678,place,Lemon Pharmacy,Riyadh,Riyadh
RYD_004561,riyadh_places_kaggle,places_05582,place,Lemon Pharmacy,Riyadh,Riyadh
