entity_id,entity_type,name,category,city,region,latitude,longitude,rating_norm,price_sar,source,source_url,data_period,snapshot_date,retrieved_at,is_live
places_00035,place,Kudu,restaurants,Riyadh,Riyadh,24.666438,46.724525,0.8400000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00036,place,Alkhafeef,restaurants,Riyadh,Riyadh,24.66645625,46.7246701,0.8800000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00037,place,Juice Time,restaurants,Riyadh,Riyadh,24.665279,46.7314387,0.9199999999999999,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00038,place,Maestro Pizza,restaurants,Riyadh,Riyadh,24.66614,46.7308,0.86,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00039,place,Pinzatta,restaurants,Riyadh,Riyadh,24.66614135,46.7308491,0.8400000000000001,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00040,place,Mad Pizza,restaurants,Riyadh,Riyadh,24.6661706,46.7309242,0.78,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00041,place,Red Chilli,restaurants,Riyadh,Riyadh,24.665103,46.710423,0.9,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00042,place,Red Cherry For Sweets,restaurants,Riyadh,Riyadh,24.66536106,46.71036925,0.9199999999999999,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00043,place,Hamburgini Burger,restaurants,Riyadh,Riyadh,24.668276,46.730204,0.82,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00044,place,Green Health,pharmacies,Riyadh,Riyadh,24.6574337,46.7008237,0.96,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00045,place,Eletna Restaurant,restaurants,Riyadh,Riyadh,24.6675753,46.7333194,1.0,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
places_00046,place,Kaaket Falafel,restaurants,Riyadh,Riyadh,24.6675753,46.7333194,0.72,,riyadh_places_kaggle,,static,,2026-09-13T06:37:48.725748+00:00,False
